Player,Squad,Pos_Category,GA_per90,Prog_Total,CrdY_per90,Min,Reliability_Score,Discipline_Score,Player_Rating
Nayef Aguerd,Real Sociedad,Defender,0.0,102,0.25510204081632654,1760,51.461988304093566,62.37244897959183,47.0
Ruben Aguilar,Lens,Midfielder,0.24,207,0.32,1124,32.865497076023395,52.800000000000004,31.2
Jean-Eudes Aholou,Angers,Midfielder,0.09174311926605504,99,0.3211009174311926,1959,57.280701754385966,52.63761467889909,22.7
Ola Aina,Nott'ham Forest,Defender,0.0900900900900901,241,0.15015015015015015,2995,87.57309941520468,77.85285285285285,73.3
Rayan Aït-Nouri,Wolves,Defender,0.3188405797101449,373,0.2028985507246377,3109,90.90643274853801,70.07246376811594,76.0
Kristoffer Ajer,Brentford,Defender,0.0,127,0.3125,1438,42.046783625730995,53.90625,40.4
Ludovic Ajorque,Brest,Attacker,0.5415162454873647,175,0.18050541516245489,2495,72.953216374269,73.37545126353791,38.4
Manuel Akanji,Manchester City,Defender,0.0,211,0.13392857142857142,2014,58.88888888888889,80.24553571428572,58.9
Sergio Akieme,Reims,Defender,0.17857142857142858,238,0.17857142857142858,2523,73.7719298245614,73.66071428571428,65.0
Maghnes Akliouche,Monaco,Attacker,0.5617977528089888,526,0.0749063670411985,2406,70.35087719298245,88.95131086142321,52.7
Clément Akpa,Auxerre,Defender,0.036231884057971016,125,0.25362318840579706,2486,72.69005847953215,62.59057971014494,58.3
Jean-Daniel Akpa-Akpro,Monza,Midfielder,0.0,62,0.3738317757009346,966,28.24561403508772,44.85981308411214,16.6
Kevin Akpoguma,Hoffenheim,Defender,0.0,128,0.12145748987854252,2220,64.91228070175438,82.08502024291498,60.3
Raúl Albiol,Villarreal,Defender,0.0,37,0.3787878787878788,1188,34.73684210526316,44.128787878787875,31.5
Omar Alderete,Getafe,Defender,0.030303030303030304,144,0.24242424242424243,2971,86.87134502923976,64.24242424242424,66.4
Carles Aleñá,Alavés,Attacker,0.1652892561983471,119,0.08264462809917356,1090,31.871345029239766,87.80991735537191,23.6
Trent Alexander-Arnold,Liverpool,Defender,0.34220532319391633,377,0.19011406844106463,2365,69.15204678362574,71.95817490494296,65.8
Alfon,Celta Vigo,Attacker,0.46052631578947373,281,0.06578947368421052,1371,40.08771929824562,90.29605263157895,41.0
Mohamed Ali Cho,Nice,Attacker,0.3888888888888889,273,0.1111111111111111,1621,47.39766081871345,83.61111111111111,36.9
Alisson,Liverpool,Goalkeeper,0.0,1,0.0,2508,73.33333333333333,100.0,81.3
Jim Allevinah,Angers,Attacker,0.2061855670103093,204,0.15463917525773196,1750,51.16959064327485,77.19072164948453,26.4
Thiago Almada,Lyon,Attacker,0.4716981132075472,185,0.2830188679245283,951,27.807017543859647,58.25471698113207,33.6
Domingos André Ribeiro Almeida,Valencia,Attacker,0.18181818181818182,264,0.09090909090909091,1977,57.80701754385965,86.5909090909091,28.7
Pontus Almqvist,Parma,Attacker,0.16129032258064516,139,0.4032258064516129,1112,32.514619883040936,40.5241935483871,17.0
Marcos Alonso,Celta Vigo,Defender,0.10204081632653061,328,0.3401360544217687,2647,77.39766081871345,49.82993197278911,62.0
Adrià Altimira,Leganés,Attacker,0.0,134,0.3314917127071823,1630,47.66081871345029,51.10497237569061,11.9
Sergi Altimira,Betis,Midfielder,0.04566210045662101,154,0.18264840182648404,1972,57.66081871345029,73.0593607305936,30.7
Edson Álvarez,West Ham,Midfielder,0.050761421319796954,127,0.4568527918781726,1772,51.81286549707602,32.614213197969534,17.3
Hugo Álvarez,Celta Vigo,Midfielder,0.4,305,0.34285714285714286,1572,45.96491228070175,49.42857142857142,38.4
Julián Álvarez,Atlético Madrid,Attacker,0.7526881720430108,333,0.17921146953405018,2509,73.3625730994152,73.56630824372759,51.9
Yeray Álvarez,Athletic Club,Defender,0.050505050505050504,124,0.20202020202020202,1781,52.07602339181287,70.2020202020202,50.3
